nom;categorie;description;image;fichier_source
Primatesta Séverine;Autres points d'intérêt;"Ateliers théâtre, philo et ""Mon livret de bord créatif""";;0/00/13-000249bc-89dc-3a23-bdb8-cce2252d43a7.json
Boutique de la Ferme des Délices Foréziens;Shopping et artisanat;L'exploitation familiale transforme son lait en glace et desserts. Ces terres sont cultivées en agroécologie, et grâce à elles produisent : bière artisanale, lentilles vertes, maïs pop-corn, steak haché, lait cru et crème fraîche (sur commande).;;0/00/13-0003a39e-f266-396a-89b9-5ba4eec22aa2.json
La Gargote - Snack;Restauration et gastronomie;La Gargote vous propose galettes, crêpes, salades, charcuterie, tartes, glaces artisanales... pour une pause salée ou sucrée dans un petit coin de nature.;;0/00/13-00053503-fa01-3883-a14e-6490c63b79e9.json
Marché hebdomadaire;Spectacles et événements;À deux pas des rives du Rhône, un petit marché alléchant fidèle à sa clientèle villageoise bien utile pour vos repas du weekend. Parfait pour se mettre en appétit avec les produits locaux.;;0/00/13-0005cd3c-502f-364b-8451-43bf7b113d7e.json
Galerie YellowKorner Lyon Centre;Culture et patrimoine;Dans des espaces consacrés à la découverte et aux rencontres, l’équipe YellowKorner vous accompagnera dans votre visite, avec une seule passion, vous faire découvrir et aimer la photographie d’art.;;0/00/13-00081605-f8de-3882-8b65-c1563b6949e0.json
Piste de luge en bordure du domaine nordique du Monolithe;Sports et activités outdoor;Les plaisirs de la luge en famille, à proximité du chalet nordique à Sardières.;;0/00/13-000b41e6-2a66-3c63-81a3-5e8e42d9b063.json
Piscine Municipale de la Pacaudière;Sports et activités outdoor;Piscine en plein air, climatisée.et surveillée avec 2 bassins côte à côte et un petit bassin pour enfants, parc aménagé et ensoleillé, table pique-nique, pelouse, jeux et balançoires, située près du camping Municipal Beausoleil, ombragé et calme.;;0/00/13-000d20cb-c639-35e7-ae98-7da6a57db588.json
Sentier nature du Calvaire;Nature et détente;Ce sentier de découverte met en valeur les trésors naturels et culturels présents sur le site du Calvaire et agrémente la promenade du Creux Saint-Jean de pauses ludiques et interactives.;;0/00/13-000de5fa-1a6a-3b1e-ac3a-da925331f067.json
Restaurant Carlino;Restauration et gastronomie;"Dans un décor sobre et chaleureux, Marcel et Yajaïra vous accueillent pour un tour du monde de saveurs! Ils partagent avec vous leurs découvertes culinaires: Pâtes fraîches maison, , fruits de mer, Gambas , Autant de plats à déguster !
Plats à emporter.";;0/00/13-0014c5d6-c537-3ebf-bf4a-62e6ce01f422.json
Bureau des guides et accompagnateurs du Grand-Bornand;Autres points d'intérêt;Nous vous proposons diverses activités : escalade, canyoning, alpinisme, via ferrata, vtt, randonnée, randonnée itinérante, visites, randonnée glaciaire, ski de randonnée, randonnée en raquette, ski hors-pistes, cascade de glace, vallée blanche...;;0/00/13-001657fc-99c0-3fbb-b9f3-11c5234c8a83.json
Petit Marché de Saint-Jean-de-Maurienne;Spectacles et événements;En milieu de semaine, une petite poignée de commerçants vous proposent de vous approvisionner en fruits et légumes dans le centre-ville de Saint-Jean-de-Maurienne.;;0/00/13-0017606a-1afc-3a1f-9ffc-7edd52314a17.json
Pho 8 restaurant;Restauration et gastronomie;Restaurant de Gastronomie Asiatique sur place ou à emporter;;0/00/13-001be95e-0c95-3a8f-8474-05a3884351ca.json
La Nécropole de Saint Nizier du Moucherotte;Autres points d'intérêt;C'est ici devant l'un des plus beaux panoramas des Alpes à l'aplomb de Grenoble que 250 maquisards ont tenu tête aux assauts allemands le 13 juin 1944.Tombes de Jean Prévost et de nombreux héros du Vercors dont celle d'Eugène Chavant,chef civil du maquis.;;0/00/13-001c10d2-8e51-3c41-bb46-1eae83abdb4b.json
